3,KUM JUN HYEON,금준현,KUM JUN HYEON,KUM JUN HYEON,琴俊弦
4,KIM GYU VIN,김규빈,KIM GYU VIN,KIM GYU VIN,金奎彬
5,KIM MIN SEOUNG,김민성,KIM MIN SEOUNG,KIM MIN SEOUNG,金玟成
6,KIM MIN HYUK,김민혁,KIM MIN HYUK,KIM MIN HYUK,金慜赫
7,KIM JI WOONG,김지웅,KIM JI WOONG,KIM JI WOONG,金地雄
8,KIM TAE RAE,김태래,KIM TAE RAE,KIM TAE RAE,金泰來
9,MUN JUNG HYUN,문정현,MUN JUNG HYUN,MUN JUNG HYUN,文淨泫
10,PARK GUN WOOK,박건욱,PARK GUN WOOK,PARK GUN WOOK,朴乾旭
11,PARK GWAN YOUNG,박관영,PARK GWAN YOUNG,PARK GWAN YOUNG,朴寬永
12,BAK DO HA,박도하,BAK DO HA,BAK DO HA,朴都河
13,PARK MIN SEOK,박민석,PARK MIN SEOK,PARK MIN SEOK,朴暋碩
14,PARK JI HOO,박지후,PARK JI HOO,PARK JI HOO,朴祉厚
15,PARK HAN BIN,박한빈,PARK HAN BIN,PARK HAN BIN,朴瀚彬
16,PARK HYUN BEEN,박현빈,PARK HYUN BEEN,PARK HYUN BEEN,朴炫彬
17,SEO WON,서원,SEO WON,SEO WON,徐源
18,SUNG HAN BIN,성한빈,SUNG HAN BIN,SUNG HAN BIN,成韓彬
19,OH SUNG MIN,오성민,OH SUNG MIN,OH SUNG MIN,吳性珉
20,YOO SEUNG EON,유승언,YOO SEUNG EON,YOO SEUNG EON,劉昇彦
21,YOON JONG WOO,윤종우,YOON JONG WOO,YOON JONG WOO,尹鐘佑
22,LEE DA EUL,이다을,LEE DA EUL,LEE DA EUL,李다을
23,LEE DONG GUN,이동건,LEE DONG GUN,LEE DONG GUN,李東建
24,LEE DONG YEOL,이동열,LEE DONG YEOL,LEE DONG YEOL,李東熱
25,LEE SEUNG HWAN,이승환,LEE SEUNG HWAN,LEE SEUNG HWAN,李昇奐
26,LEE YE DAM,이예담,LEE YE DAM,LEE YE DAM,李예담
27,LEE JEONG HYEON,이정현,LEE JEONG HYEON,LEE JEONG HYEON,李政縣
28,LEE HWAN HEE,이환희,LEE HWAN HEE,LEE HWAN HEE,李歡喜
29,LEE HOE TAEK,이회택,LEE HOE TAEK,LEE HOE TAEK,李會澤
30,LIM JUN SEO,임준서,LIM JUN SEO,LIM JUN SEO,林準序
31,JANG MIN SEO,장민서,JANG MIN SEO,JANG MIN SEO,張珉瑞
32,JANG YEO JUN,장여준,JANG YEO JUN,JANG YEO JUN,張汝遵
33,JANG JI HO,장지호,JANG JI HO,JANG JI HO,張芝豪
