3,KUM JUN HYEON,KUM JUN HYEON
4,KIM GYU VIN,KIM GYU VIN
5,KIM MIN SEOUNG,KIM MIN SEOUNG
6,KIM MIN HYUK,KIM MIN HYUK
7,KIM JI WOONG,KIM JI WOONG
8,KIM TAE RAE,KIM TAE RAE
9,MUN JUNG HYUN,MUN JUNG HYUN
10,PARK GUN WOOK,PARK GUN WOOK
11,PARK GWAN YOUNG,PARK GWAN YOUNG
12,BAK DO HA,BAK DO HA
13,PARK MIN SEOK,PARK MIN SEOK
14,PARK JI HOO,PARK JI HOO
15,PARK HAN BIN,PARK HAN BIN
16,PARK HYUN BEEN,PARK HYUN BEEN
17,SEO WON,SEO WON
18,SUNG HAN BIN,SUNG HAN BIN
19,OH SUNG MIN,OH SUNG MIN
20,YOO SEUNG EON,YOO SEUNG EON
21,YOON JONG WOO,YOON JONG WOO
22,LEE DA EUL,LEE DA EUL
23,LEE DONG GUN,LEE DONG GUN
24,LEE DONG YEOL,LEE DONG YEOL
25,LEE SEUNG HWAN,LEE SEUNG HWAN
26,LEE YE DAM,LEE YE DAM
27,LEE JEONG HYEON,LEE JEONG HYEON
28,LEE HWAN HEE,LEE HWAN HEE
29,LEE HOE TAEK,LEE HOE TAEK
30,LIM JUN SEO,LIM JUN SEO
31,JANG MIN SEO,JANG MIN SEO
32,JANG YEO JUN,JANG YEO JUN
33,JANG JI HO,JANG JI HO
34,JEON WOO SEOK,JEON WOO SEOK
35,JEON HO YOUNG,JEON HO YOUNG
36,JUNG MIN GYU,JUNG MIN GYU
37,JUNG SE YUN,JUNG SE YUN
38,JEONG I CHAN,JEONG I CHAN
39,JUNG HO JIN,JUNG HO JIN
40,JUNG HWAN ROK,JUNG HWAN ROK
41,JI YUN SEO,JI YUN SEO
42,CHA WOONG KI,CHA WOONG KI
43,CHOI SEUNG HUN,CHOI SEUNG HUN
44,CHOI WOO JIN,CHOI WOO JIN
45,CHOI JI HO,CHOI JI HO
46,HAN SEO BIN,HAN SEO BIN
47,HAN YU SEOP,HAN YU SEOP
48,HAN YU JIN,HAN YU JIN
49,HONG KEON HEE,HONG KEON HEE
50,NICE,NICE
51,ナ・カムデン,NA KAMDEN
52,DANG HONG HAI,DANG HONG HAI
53,DONG DONG,DONG DONG
54,陸,RIKU
55,RICKY,RICKY
56,LIN SHI YUAN,LIN SHI YUAN
57,MA JING XIANG,MA JING XIANG
58,MIN,MIN
59,BRIAN,BRIAN
60,SEOK MATTHEW,SEOK MATTHEW
61,XUAN HAO,XUAN HAO
62,アントニー,ANTHONNY
63,YANG JUN,YANG JUN
64,央修,OSUKE
65,桜樹,OUJU
66,OLLIE,OLLIE
67,WANG YAN HONG,WANG YAN HONG
68,WANG ZI HAO,WANG ZI HAO
69,WUMUTI,WUMUTI
70,WEN YE CHEN,WEN YE CHEN
71,WINNE,WINNE
72,由暉,YUKI
73,豊,YUTAKA
74,佑都,YUTO
75,樹,ITSUKI
76,一翔,ICHIKA
77,ZHANG SHUAI BO,ZHANG SHUAI BO
78,ZHANG HAO,ZHANG HAO
79,JAY,JAY
80,CAI JIN XIN,CAI JIN XIN
81,CHEN KUAN JUI,CHEN KUAN JUI
82,CHEN REN YOU,CHEN REN YOU
83,CHEN LIANG,CHEN LIANG
84,CHEN YU GENG,CHEN YU GENG
85,CHEN JIAN YU,CHEN JIAN YU
86,QIU SHENG YANG,QIU SHENG YANG
87,敬,KEI
88,佳汰,KEITA
89,CONG,CONG
90,KRYSTIAN,KRYSTIAN
91,拓斗,TAKUTO
92,透唯,TOUI
93,FENG JUN LAN,FENG JUN LAN
94,暖琉,HARU
95,春と,HARUTO
96,飛燿,HYO
97,大翔,HIROTO
98,YEOM TAE GYUN,YEOM TAE GYUN
99,ドウォン,TAO YUAN
100,JO EUN WOO,JO EUN WOO
